id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,
79,"The Boy, the Mole, the Fox and the Horse Deluxe (Yellow) Edition",Charlie Mackesy,4.8,87406,"['Comics & Graphic Novels', 'Graphic Novels']",63142783,63142783,"https://images-na.ssl-images-amazon.com/images/I/41LsNc3zJHL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063142783,,
80,The Tattooist of Auschwitz: A Novel,Heather Morris,4.7,46174,"['Literature & Fiction', 'Genre Fiction']",62797158,62797158,"https://images-na.ssl-images-amazon.com/images/I/41ZBK9+E0vL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0062797158,,
81,Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series),Gary John Bishop,4.6,16512,"['Self-Help', 'Happiness']",62803832,62803832,"https://images-na.ssl-images-amazon.com/images/I/41e7CLOxUIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062803832,,
82,Magnolia Table,Joanna GainesMarah Stets,4.8,28122,"['Cookbooks, Food & Wine', 'Regional & International']",006282015X,9780000000000,"https://images-na.ssl-images-amazon.com/images/I/51iDWMHbdhL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/006282015X,,
83,"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",Joanna Gaines,4.9,22686,"['Cookbooks, Food & Wine', 'Regional & International']",62820184,62820184,"https://images-na.ssl-images-amazon.com/images/I/41W+DpFKNbL._SX258_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0062820184,,
84,Charlotte's Web (Trophy Newbery),E. B. WhiteGarth Williams,4.8,17487,"['Literature & Fiction', 'Contemporary']",64400557,64400557,"https://images-na.ssl-images-amazon.com/images/I/5175Z5YYS7L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0064400557,,
85,"The Cellist: A Novel (Gabriel Allon, 21)",Daniel Silva,4,19584,"['Literature & Fiction', 'Action & Adventure']",006283486X,006283486X,"https://images-na.ssl-images-amazon.com/images/I/41YoyZ0j1aL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/006283486X,,
86,The Secret Garden (HarperClassics),Frances Hodgson Burnett,4.7,10041,"[""Children's Books"", 'Literature & Fiction']",006440188X,006440188X,"https://images-na.ssl-images-amazon.com/images/I/51U5LphhqXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/006440188X,,
87,I've Loved You Since Forever,Hoda KotbSuzie Mason,4.8,19794,"[""Children's Books"", 'Growing Up & Facts of Life']",62841742,62841742,"https://images-na.ssl-images-amazon.com/images/I/51FnzgOR8cL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062841742,,
88,I've Loved You Since Forever Board Book,Hoda KotbSuzie Mason,4.8,19794,"[""Children's Books"", 'Growing Up & Facts of Life']",62841750,62841750,"https://images-na.ssl-images-amazon.com/images/I/51vrHeXp-rL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062841750,,
89,Pride and Prejudice,Jane Austen,4.6,24978,"['Literature & Fiction', 'Classics']",141439513,9780000000000,"https://images-na.ssl-images-amazon.com/images/I/41oMRzKdGNL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0141439513,,
