id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,,,,,,,,,,,,,,,,,,,,,,
61,Finding Freedom: Harry and Meghan and the Making of a Modern Royal Family,Omid ScobieCarolyn Durand,4.2 out of 5 stars,12951,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",0063046105,0063046105,"https://images-na.ssl-images-amazon.com/images/I/41EOuDhySsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063046105,,,,,,,,,,,,,,,,,,,,,,,
62,Finding Freedom: Harry and Meghan,Omid ScobieCarolyn Durand,4.2 out of 5 stars,12951,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",0063046113,0063046113,"https://images-na.ssl-images-amazon.com/images/I/41XlJlEmxhS._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0063046113,,,,,,,,,,,,,,,,,,,,,,,
63,The Woman in the Window: A Novel,A. J Finn,4.4 out of 5 stars,33470,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",0062678426,0062678426,"https://images-na.ssl-images-amazon.com/images/I/51Q0ZA4gmBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062678426,,,,,,,,,,,,,,,,,,,,,,,
64,Charlotte's Web,E. B WhiteGarth Williams,4.8 out of 5 stars,17487,"[""Books"",""Children's Books"",""Animals""]",0061124958,006112495,"https://images-na.ssl-images-amazon.com/images/I/61+3z1o4oUL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0061124958,,,,,,,,,,,,,,,,,,,,,,,
65,Corduroy,Don Freeman,4.9 out of 5 stars,12752,"[""Books"",""Children's Books"",""Animals""]",0140501738,0140501738,"https://images-na.ssl-images-amazon.com/images/I/51sIORH4JqL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0140501738,,,,,,,,,,,,,,,,,,,,,,,
66,The Hating Game,Sally Thorne,4.5 out of 5 stars,14801,"[""Books"",""Humor & Entertainment"",""Humor""]",0063063530,0063063530,"https://images-na.ssl-images-amazon.com/images/I/51PYLBJfDkL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063063530,,,,,,,,,,,,,,,,,,,,,,,
67,Brave New World,Aldous Huxley,4.6 out of 5 stars,18262,"[""Books"",""Literature & Fiction"",""United States""]",0062696122,0062696122,"https://images-na.ssl-images-amazon.com/images/I/51K6hPJ0buL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062696122,,,,,,,,,,,,,,,,,,,,,,,
68,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil GaimanTerry Pratchett,4.7 out of 5 stars,14729,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062697250,0062697250,"https://images-na.ssl-images-amazon.com/images/I/51YxR2RGvbL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062697250,,,,,,,,,,,,,,,,,,,,,,,
69,Bridgerton [TV Tie-in] (Bridgertons Book 1),Julia Quinn,4.6 out of 5 stars,32433,"[""Books"",""Literature & Fiction"",""Women's Fiction""]",0063078902,0063078902,"https://images-na.ssl-images-amazon.com/images/I/513yHCCzv5L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063078902,,,,,,,,,,,,,,,,,,,,,,,
70,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris KyleScott McEwenJim DeFelice,4.6 out of 5 stars,18487,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",0062238868,0062238868,"https://images-na.ssl-images-amazon.com/images/I/51xvbhi2FaL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062238868,,,,,,,,,,,,,,,,,,,,,,,
